Trimeste;fecha;Ingresos
Q1 1990;12/29/1989;1493,4
Q2 1990;03/30/1990;1346,2
Q3 1990;06/29/1990;1364,8
Q4 1990;09/28/1990;1354,1
Q1 1991;12/28/1990;1675,5
Q2 1991;03/29/1991;1597,7
Q3 1991;06/28/1991;1528,6
Q4 1991;09/27/1991;1507,1
Q1 1992;12/27/1991;1862,6
Q2 1992;03/27/1992;1716
Q3 1992;06/26/1992;1740,2
Q4 1992;09/25/1992;1767,7
Q1 1993;12/25/1992;2000,3
Q2 1993;03/26/1993;1973,9
Q3 1993;06/25/1993;1862
Q4 1993;09/24/1993;2140,8
Q1 1994;12/31/1993;2468,9
Q2 1994;03/31/1994;2076,7
Q3 1994;06/01/1994;2149,9
Q4 1994;09/30/1994;2493,3
Q1 1995;12/30/1994;2832
Q2 1995;03/31/1995;2652
Q3 1995;06/30/1995;2575
Q4 1995;09/29/1995;3003
Q1 1996;12/29/1995;3148
Q2 1996;03/29/1996;2185
Q3 1996;06/28/1996;2179
Q4 1996;09/27/1996;2321
Q1 1997;12/27/1996;2129
Q2 1997;03/28/1997;1601
Q3 1997;06/27/1997;1737
Q4 1997;09/26/1997;1614
Q1 1998;12/26/1997;1578
Q2 1998;03/27/1998;1405
Q3 1998;06/26/1998;1402
Q4 1998;09/25/1998;1556
Q1 1999;12/26/1998;1710
Q2 1999;03/27/1999;1530
Q3 1999;06/26/1999;1558
Q4 1999;09/25/1999;1336
Q1 2000;12/21/1999;2343
Q2 2000;03/01/2000;1945
Q3 2000;06/01/2000;1825
Q4 2000;09/30/2000;1870
Q1 2001;12/30/2000;1007
Q2 2001;03/31/2001;1431
Q3 2001;06/30/2001;1475
Q4 2001;09/29/2001;1450
Q1 2002;12/29/2001;1375
Q2 2002;03/30/2002;1495
Q3 2002;06/29/2002;1429
Q4 2002;09/28/2002;1443
Q1 2003;12/28/2002;1472
Q2 2003;03/29/2003;1475
Q3 2003;06/28/2003;1545
Q4 2003;09/27/2003;1715
Q1 2004;12/27/2003;2006
Q2 2004;03/27/2004;1909
Q3 2004;06/26/2004;2014
Q4 2004;09/25/2004;2350
Q1 2005;12/25/2004;3490
Q2 2005;03/26/2005;3243
Q3 2005;06/25/2005;3520
Q4 2005;09/25/2005;3678
Q1 2006;12/31/2005;5749
Q2 2006;03/01/2006;4359
Q3 2006;06/01/2006;4370
Q4 2006;09/30/2006;4837
Q1 2007;12/30/2006;7123
Q2 2007;03/31/2007;5286
Q3 2007;06/30/2007;5563
Q4 2007;09/29/2007;6606
Q1 2008;12/29/2007;9608
Q2 2008;03/29/2008;7980
Q3 2008;06/28/2008;7561
Q4 2008;09/27/2008;11520
Q1 2009;12/27/2008;11880
Q2 2009;03/28/2009;9084
Q3 2009;06/27/2009;9734
Q4 2009;09/26/2009;12207
Q1 2010;12/26/2009;15683
Q2 2010;03/27/2010;13499
Q3 2010;06/26/2010;15700
Q4 2010;09/25/2010;20343
Q1 2011;12/25/2010;26741
Q2 2011;03/26/2011;24667
Q3 2011;06/25/2011;28571
Q4 2011;09/24/2011;28270
Q1 2012;12/31/2011;46333
Q2 2012;03/31/2012;39186
Q3 2012;06/30/2012;35023
Q4 2012;09/29/2012;35966
Q1 2013;12/29/2012;54512
Q2 2013;03/30/2013;43603
Q3 2013;06/29/2013;35323
Q4 2013;09/28/2013;37472
Q1 2014;12/28/2013;57594
Q2 2014;03/29/2014;45646
Q3 2014;06/28/2014;37432
Q4 2014;09/27/2014;42123
Q1 2015;12/27/2014;74599
Q2 2015;03/28/2015;58010
Q3 2015;06/27/2015;49605
Q4 2015;09/26/2015;51501
Q1 2016;12/26/2015;75324
Q2 2016;03/26/2016;50557
Q3 2016;06/25/2016;42358
Q4 2016;09/24/2016;46852
Q1 2017;12/31/2016;78351
Q2 2017;03/01/2017;52896
Q3 2017;06/01/2017;45408
Q4 2017;09/30/2017;51939
Q1 2018;12/30/2017;88293
Q2 2018;03/31/2018;61137
Q3 2018;06/30/2018;53265
Q4 2018;09/29/2018;62900
Q1 2019;12/29/2018;84310
Q2 2019;03/30/2019;58015
Q3 2019;06/29/2019;53809
Q4 2019;09/28/2019;64040
Q1 2020;12/28/2019;91819
Q2 2020;03/28/2020;58313
Q3 2020;06/27/2020;59685
Q4 2020;09/26/2020;64698
Q1 2021;12/26/2020;111439
Q2 2021;03/27/2021;89584
Q3 2021;06/26/2021;81434